Alignment,Organisation,Baseline_Plan,Suppliers,Interdependencies,Diversification,Flexibility,Team_Work,Score,Week,Age,Gender,Country,Department,Company_title,role,report,work_time,program_since,company_since
28,64,37,59,97,16,35,29,78,Week_1,26-35,Male,USA,HR,1,4,1,1,1,2
82,20,33,87,53,88,63,76,94,Week_1,36-45,Female,India,IT,4,2,1,1,2,3
60,70,98,80,25,97,81,84,42,Week_1,36-45,Female,UK,Other,1,3,3,3,1,3
83,47,91,58,50,86,33,75,63,Week_1,46-55,Female,India,Marketing,1,1,2,4,1,1
24,96,95,42,85,95,13,67,58,Week_1,46-55,Female,USA,Sales,1,2,1,1,4,2
95,20,42,18,90,34,44,41,43,Week_1,36-45,Female,India,HR,2,4,4,3,1,3
95,61,19,74,83,59,59,10,72,Week_1,26-35,Female,India,IT,2,2,2,2,2,1
85,10,18,96,84,15,80,66,79,Week_1,56+,Female,UK,HR,1,4,1,3,1,3
66,18,23,67,99,72,50,89,92,Week_1,26-35,Female,USA,Marketing,4,4,1,3,4,2
45,55,33,67,28,47,34,52,46,Week_1,36-45,Female,USA,HR,4,1,4,2,3,3
32,55,90,40,16,40,18,52,95,Week_1,36-45,Female,UK,IT,2,4,3,2,2,3
98,95,43,72,79,75,97,93,91,Week_1,36-45,Female,Sweden,Marketing,2,4,2,2,3,4
84,93,26,98,90,58,55,23,75,Week_1,36-45,Male,India,IT,1,1,1,3,3,2
44,75,64,51,45,73,53,34,84,Week_1,56+,Female,USA,Marketing,2,1,4,4,1,1
31,85,24,16,39,49,55,51,98,Week_1,26-35,Male,India,Other,1,3,4,3,2,2
45,29,16,45,97,62,47,63,93,Week_1,36-45,Female,India,Sales,3,2,2,2,2,3
49,24,75,22,32,54,34,21,68,Week_1,26-35,Male,UK,Sales,4,1,1,2,1,2
39,98,44,98,83,89,30,19,91,Week_1,26-35,Female,India,HR,3,3,3,2,1,1
24,88,98,31,40,63,43,23,58,Week_1,36-45,Female,UK,Sales,2,1,2,1,4,3
51,86,67,97,13,64,85,36,89,Week_1,56+,Male,USA,Sales,2,4,4,4,4,2
85,35,51,85,22,51,93,80,46,Week_1,56+,Male,USA,Sales,4,2,2,4,2,1
16,66,23,86,33,16,53,82,54,Week_1,19-25,Female,USA,Marketing,2,1,1,3,2,3
89,45,56,38,14,92,35,87,40,Week_1,46-55,Female,Sweden,IT,1,2,2,3,4,3
31,30,70,36,91,38,37,99,71,Week_1,19-25,Male,UK,IT,2,2,1,1,3,4
80,83,99,14,85,49,52,72,85,Week_1,56+,Male,USA,HR,4,1,4,3,2,1
60,46,96,95,32,12,25,34,59,Week_2,46-55,Female,India,Other,4,4,3,1,4,4
18,31,92,10,18,13,12,29,98,Week_2,36-45,Male,India,Sales,2,4,3,3,1,4
12,62,94,18,73,51,46,32,88,Week_2,19-25,Male,UK,HR,1,2,3,2,4,2
51,40,49,14,90,67,72,74,50,Week_2,36-45,Male,India,Sales,4,4,1,3,2,3
70,56,64,93,75,15,15,82,51,Week_2,46-55,Male,USA,Sales,1,3,3,1,3,3
23,67,16,94,19,69,61,16,52,Week_2,26-35,Female,India,Marketing,2,2,4,3,2,3
27,28,14,36,24,67,51,62,73,Week_2,46-55,Female,Sweden,IT,2,3,3,4,3,4
21,77,39,18,73,30,39,54,84,Week_2,36-45,Female,USA,Marketing,3,1,1,4,2,2
12,87,89,59,86,67,41,30,62,Week_2,19-25,Female,Sweden,Sales,4,3,1,3,1,3
84,14,62,27,54,48,50,99,72,Week_2,36-45,Male,India,Other,4,4,2,1,3,4
45,30,13,59,35,45,84,35,75,Week_2,36-45,Male,USA,HR,2,2,4,1,2,1
