Alignment,Organisation,Baseline and Plan,Suppliers,Interdependencies,Score,Week,Gender,Age,Department
76,11,93,67,39,83,3,Male,49,Sales
21,83,37,94,17,96,3,Male,34,Marketing
54,29,10,58,32,98,1,Male,26,HR
54,10,27,41,54,71,1,Female,53,HR
70,94,54,33,88,92,3,Male,30,Sales
83,74,41,27,73,74,3,Female,48,Sales
79,17,49,77,83,79,1,Female,43,Other
20,69,21,31,23,99,1,Male,53,IT
95,90,93,89,18,85,3,Male,33,Sales
61,13,95,79,98,68,1,Male,48,HR
92,11,81,41,52,68,2,Male,36,Marketing
31,11,42,52,50,78,3,Male,53,HR
89,74,10,94,36,44,1,Male,33,Marketing
72,80,14,67,47,90,1,Female,34,HR
10,70,86,13,27,48,3,Male,37,IT
14,64,32,32,47,60,2,Female,42,HR
53,28,27,71,96,79,2,Male,39,Sales
23,45,93,20,44,72,3,Male,22,Sales
81,47,24,67,51,65,1,Male,21,Other
44,42,60,87,95,74,1,Female,35,HR
66,33,16,71,52,90,3,Male,34,Marketing
33,45,20,65,91,60,2,Male,53,Marketing
59,18,56,24,54,59,1,Female,46,HR
50,71,15,68,84,96,1,Male,30,Other
82,33,91,87,44,96,3,Female,37,Sales
36,95,70,60,15,48,2,Male,26,Other
49,42,24,15,79,97,1,Male,32,IT
94,41,47,40,30,55,3,Male,27,HR
60,27,38,94,55,67,2,Female,34,HR
60,71,77,74,25,40,2,Female,23,Sales
65,64,30,37,15,41,2,Male,27,Sales
46,21,29,97,66,87,2,Male,33,HR
13,97,50,73,97,61,2,Female,25,HR
68,94,58,30,82,52,1,Male,46,Sales
77,78,68,40,71,76,1,Female,33,Marketing
29,54,83,33,34,58,3,Male,27,Marketing
87,71,61,24,12,93,3,Male,48,HR
60,97,56,56,95,49,1,Female,39,Marketing
32,89,80,10,95,61,2,Female,50,IT
49,24,13,41,11,86,1,Male,26,HR
90,59,25,33,98,44,3,Male,24,Marketing
71,41,18,32,49,63,3,Female,25,IT
63,35,60,95,44,77,1,Male,21,IT
59,42,89,62,56,79,1,Female,39,HR
25,30,58,58,37,81,3,Female,49,Sales
94,53,71,16,53,45,1,Female,43,HR
75,90,39,19,50,80,1,Male,22,HR
57,68,51,37,29,55,2,Female,28,Marketing
13,12,58,47,80,62,2,Female,40,Marketing
76,24,30,56,11,66,2,Female,50,HR
77,97,82,45,76,45,2,Female,30,Other
57,94,58,13,81,43,2,Male,23,Marketing
62,70,31,53,88,87,3,Female,22,Sales
36,97,55,10,71,71,2,Male,33,Marketing
37,75,58,88,90,73,1,Male,34,IT
46,99,33,85,48,65,2,Male,49,IT
98,98,24,24,95,51,1,Male,41,Marketing
36,10,55,45,33,84,2,Male,20,IT
19,64,36,83,44,60,3,Female,53,HR
75,59,90,83,82,44,1,Male,29,Marketing
48,52,89,57,41,60,2,Female,42,Sales
86,44,49,94,72,87,1,Male,51,Sales
95,58,21,65,50,45,1,Male,52,Other
10,23,45,60,54,80,1,Male,20,Other
31,48,47,51,91,66,2,Female,52,Marketing
38,19,28,31,96,56,3,Male,48,IT
70,52,17,65,32,43,1,Female,20,Sales
92,43,51,68,24,87,1,Female,39,Sales
85,55,68,87,53,68,2,Female,36,Marketing
78,49,94,99,14,90,2,Male,48,HR
72,49,64,70,10,59,3,Male,35,HR
88,11,17,58,86,83,2,Male,52,Marketing
68,42,80,67,46,56,2,Male,50,Marketing
48,73,94,57,87,76,1,Female,42,IT
56,25,85,72,40,82,1,Male,49,Marketing
17,67,72,63,89,90,1,Female,32,HR
96,34,53,25,80,58,3,Male,35,Marketing
89,15,86,78,35,70,2,Male,30,HR
70,74,95,29,53,74,1,Male,40,Marketing
12,32,27,84,17,66,1,Female,35,IT
77,34,99,69,63,81,1,Male,29,HR
34,12,89,76,64,95,1,Female,32,Other
62,92,53,20,75,61,2,Female,35,Sales
13,76,57,51,11,98,1,Male,46,Other
63,11,10,32,62,41,1,Male,41,Other
97,70,65,31,36,61,1,Female,48,IT
11,94,88,93,91,88,2,Male,31,IT
23,90,58,43,33,69,1,Male,25,Marketing
22,16,50,57,91,80,1,Female,25,Marketing
46,62,77,57,74,50,2,Female,25,Marketing
29,58,23,36,72,97,2,Male,53,Other
87,69,97,81,83,74,3,Male,39,Marketing
44,61,10,80,86,71,3,Female,24,IT
44,11,12,40,65,48,2,Female,29,IT
45,82,36,62,78,44,3,Male,34,Sales
51,38,21,95,42,87,1,Female,23,Marketing
38,43,35,28,78,58,2,Female,51,HR
61,18,70,10,16,93,1,Male,45,Sales
73,77,30,91,28,69,1,Female,47,Marketing
44,73,33,23,60,59,1,Female,38,Sales
